seed,split,amount_tolerance,amount_tolerance_pct,threshold,candidate_clusters,labelled_clusters,positive_clusters,negative_clusters,precision,recall,f1,fpr,customer_coverage
46,development,0.01,1.0,52.0,85,85,20,65,1.0,0.35,0.5185185185185185,0.0,0.22
9001,held_out,0.005,0.5,20.0,79,79,24,55,0.4074074074074074,0.9166666666666666,0.5641025641025641,0.5818181818181818,0.7466666666666667
9001,held_out,0.005,0.5,30.0,79,79,24,55,0.45652173913043476,0.875,0.6,0.45454545454545453,0.7
9001,held_out,0.005,0.5,40.0,79,79,24,55,0.43902439024390244,0.75,0.5538461538461539,0.41818181818181815,0.64
9001,held_out,0.005,0.5,50.0,79,79,24,55,0.7692307692307693,0.4166666666666667,0.5405405405405406,0.05454545454545454,0.3933333333333333
9001,held_out,0.005,0.5,52.0,79,79,24,55,0.9,0.375,0.5294117647058825,0.01818181818181818,0.36
9001,held_out,0.005,0.5,55.0,79,79,24,55,1.0,0.25,0.4,0.0,0.24
9001,held_out,0.005,0.5,60.0,79,79,24,55,1.0,0.125,0.2222222222222222,0.0,0.12666666666666668
9001,held_out,0.005,0.5,70.0,79,79,24,55,1.0,0.08333333333333333,0.15384615384615385,0.0,0.08
9001,held_out,0.005,0.5,80.0,79,79,24,55,1.0,0.041666666666666664,0.07999999999999999,0.0,0.05333333333333334
9001,held_out,0.005,0.5,90.0,79,79,24,55,,0.0,,0.0,0.0
9001,held_out,0.001,0.1,52.0,79,79,24,55,1.0,0.375,0.5454545454545454,0.0,0.36
9001,held_out,0.0025,0.25,52.0,79,79,24,55,1.0,0.375,0.5454545454545454,0.0,0.36
9001,held_out,0.005,0.5,52.0,79,79,24,55,0.9,0.375,0.5294117647058825,0.01818181818181818,0.36
9001,held_out,0.0075,0.75,52.0,79,79,24,55,0.9,0.375,0.5294117647058825,0.01818181818181818,0.36
9001,held_out,0.01,1.0,52.0,79,79,24,55,0.9,0.375,0.5294117647058825,0.01818181818181818,0.36
9002,held_out,0.005,0.5,20.0,89,89,21,68,0.3448275862068966,0.9523809523809523,0.5063291139240507,0.5588235294117647,0.58
9002,held_out,0.005,0.5,30.0,89,89,21,68,0.4,0.9523809523809523,0.5633802816901408,0.4411764705882353,0.58
9002,held_out,0.005,0.5,40.0,89,89,21,68,0.3170731707317073,0.6190476190476191,0.4193548387096774,0.4117647058823529,0.38666666666666666
9002,held_out,0.005,0.5,50.0,89,89,21,68,0.75,0.42857142857142855,0.5454545454545454,0.04411764705882353,0.28
9002,held_out,0.005,0.5,52.0,89,89,21,68,0.8,0.38095238095238093,0.5161290322580645,0.029411764705882353,0.24666666666666667
9002,held_out,0.005,0.5,55.0,89,89,21,68,1.0,0.38095238095238093,0.5517241379310345,0.0,0.24666666666666667
9002,held_out,0.005,0.5,60.0,89,89,21,68,1.0,0.2857142857142857,0.4444444444444445,0.0,0.2
9002,held_out,0.005,0.5,70.0,89,89,21,68,1.0,0.14285714285714285,0.25,0.0,0.13333333333333333
9002,held_out,0.005,0.5,80.0,89,89,21,68,1.0,0.047619047619047616,0.0909090909090909,0.0,0.04666666666666667
9002,held_out,0.005,0.5,90.0,89,89,21,68,,0.0,,0.0,0.0
9002,held_out,0.001,0.1,52.0,89,89,21,68,1.0,0.38095238095238093,0.5517241379310345,0.0,0.24666666666666667
9002,held_out,0.0025,0.25,52.0,89,89,21,68,0.8,0.38095238095238093,0.5161290322580645,0.029411764705882353,0.24666666666666667
9002,held_out,0.005,0.5,52.0,89,89,21,68,0.8,0.38095238095238093,0.5161290322580645,0.029411764705882353,0.24666666666666667
9002,held_out,0.0075,0.75,52.0,89,89,21,68,0.8,0.38095238095238093,0.5161290322580645,0.029411764705882353,0.24666666666666667
9002,held_out,0.01,1.0,52.0,89,89,21,68,0.8,0.38095238095238093,0.5161290322580645,0.029411764705882353,0.24666666666666667
9003,held_out,0.005,0.5,20.0,94,94,24,70,0.3380281690140845,1.0,0.5052631578947369,0.6714285714285714,0.74
9003,held_out,0.005,0.5,30.0,94,94,24,70,0.375,0.875,0.525,0.5,0.6466666666666666
9003,held_out,0.005,0.5,40.0,94,94,24,70,0.33962264150943394,0.75,0.4675324675324676,0.5,0.5466666666666666
9003,held_out,0.005,0.5,50.0,94,94,24,70,0.8,0.5,0.6153846153846154,0.04285714285714286,0.32666666666666666
9003,held_out,0.005,0.5,52.0,94,94,24,70,0.8461538461538461,0.4583333333333333,0.5945945945945945,0.02857142857142857,0.31333333333333335
9003,held_out,0.005,0.5,55.0,94,94,24,70,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.02857142857142857,0.2866666666666667
9003,held_out,0.005,0.5,60.0,94,94,24,70,1.0,0.2916666666666667,0.45161290322580644,0.0,0.16666666666666666
9003,held_out,0.005,0.5,70.0,94,94,24,70,1.0,0.041666666666666664,0.07999999999999999,0.0,0.03333333333333333
9003,held_out,0.005,0.5,80.0,94,94,24,70,1.0,0.041666666666666664,0.07999999999999999,0.0,0.03333333333333333
9003,held_out,0.005,0.5,90.0,94,94,24,70,,0.0,,0.0,0.0
9003,held_out,0.001,0.1,52.0,94,94,24,70,0.8461538461538461,0.4583333333333333,0.5945945945945945,0.02857142857142857,0.31333333333333335
9003,held_out,0.0025,0.25,52.0,94,94,24,70,0.8461538461538461,0.4583333333333333,0.5945945945945945,0.02857142857142857,0.31333333333333335
9003,held_out,0.005,0.5,52.0,94,94,24,70,0.8461538461538461,0.4583333333333333,0.5945945945945945,0.02857142857142857,0.31333333333333335
9003,held_out,0.0075,0.75,52.0,94,94,24,70,0.7857142857142857,0.4583333333333333,0.5789473684210527,0.04285714285714286,0.31333333333333335
9003,held_out,0.01,1.0,52.0,94,94,24,70,0.7857142857142857,0.4583333333333333,0.5789473684210527,0.04285714285714286,0.31333333333333335
9004,held_out,0.005,0.5,20.0,77,77,15,62,0.3,1.0,0.4615384615384615,0.5645161290322581,0.4
9004,held_out,0.005,0.5,30.0,77,77,15,62,0.3170731707317073,0.8666666666666667,0.4642857142857143,0.45161290322580644,0.35333333333333333
9004,held_out,0.005,0.5,40.0,77,77,15,62,0.2894736842105263,0.7333333333333333,0.4150943396226416,0.43548387096774194,0.32666666666666666
9004,held_out,0.005,0.5,50.0,77,77,15,62,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.06451612903225806,0.19333333333333333
9004,held_out,0.005,0.5,52.0,77,77,15,62,1.0,0.4666666666666667,0.6363636363636364,0.0,0.19333333333333333
9004,held_out,0.005,0.5,55.0,77,77,15,62,1.0,0.3333333333333333,0.5,0.0,0.14
9004,held_out,0.005,0.5,60.0,77,77,15,62,1.0,0.26666666666666666,0.4210526315789474,0.0,0.10666666666666667
9004,held_out,0.005,0.5,70.0,77,77,15,62,1.0,0.13333333333333333,0.23529411764705882,0.0,0.05333333333333334
9004,held_out,0.005,0.5,80.0,77,77,15,62,1.0,0.06666666666666667,0.125,0.0,0.02
9004,held_out,0.005,0.5,90.0,77,77,15,62,,0.0,,0.0,0.0
9004,held_out,0.001,0.1,52.0,77,77,15,62,1.0,0.4666666666666667,0.6363636363636364,0.0,0.19333333333333333
9004,held_out,0.0025,0.25,52.0,77,77,15,62,1.0,0.4666666666666667,0.6363636363636364,0.0,0.19333333333333333
9004,held_out,0.005,0.5,52.0,77,77,15,62,1.0,0.4666666666666667,0.6363636363636364,0.0,0.19333333333333333
9004,held_out,0.0075,0.75,52.0,77,77,15,62,1.0,0.4666666666666667,0.6363636363636364,0.0,0.19333333333333333
9004,held_out,0.01,1.0,52.0,77,77,15,62,1.0,0.4666666666666667,0.6363636363636364,0.0,0.19333333333333333
9005,held_out,0.005,0.5,20.0,84,84,22,62,0.4,1.0,0.5714285714285715,0.532258064516129,0.7666666666666667
9005,held_out,0.005,0.5,30.0,84,84,22,62,0.43902439024390244,0.8181818181818182,0.5714285714285715,0.3709677419354839,0.6066666666666667
9005,held_out,0.005,0.5,40.0,84,84,22,62,0.3611111111111111,0.5909090909090909,0.4482758620689656,0.3709677419354839,0.4533333333333333
9005,held_out,0.005,0.5,50.0,84,84,22,62,0.7692307692307693,0.45454545454545453,0.5714285714285714,0.04838709677419355,0.37333333333333335
9005,held_out,0.005,0.5,52.0,84,84,22,62,0.9,0.4090909090909091,0.5625000000000001,0.016129032258064516,0.32666666666666666
9005,held_out,0.005,0.5,55.0,84,84,22,62,0.8888888888888888,0.36363636363636365,0.5161290322580644,0.016129032258064516,0.2866666666666667
9005,held_out,0.005,0.5,60.0,84,84,22,62,1.0,0.2727272727272727,0.42857142857142855,0.0,0.2
9005,held_out,0.005,0.5,70.0,84,84,22,62,1.0,0.13636363636363635,0.24000000000000002,0.0,0.13333333333333333
9005,held_out,0.005,0.5,80.0,84,84,22,62,,0.0,,0.0,0.0
9005,held_out,0.005,0.5,90.0,84,84,22,62,,0.0,,0.0,0.0
9005,held_out,0.001,0.1,52.0,84,84,22,62,0.9,0.4090909090909091,0.5625000000000001,0.016129032258064516,0.32666666666666666
9005,held_out,0.0025,0.25,52.0,84,84,22,62,0.9,0.4090909090909091,0.5625000000000001,0.016129032258064516,0.32666666666666666
9005,held_out,0.005,0.5,52.0,84,84,22,62,0.9,0.4090909090909091,0.5625000000000001,0.016129032258064516,0.32666666666666666
9005,held_out,0.0075,0.75,52.0,84,84,22,62,0.9,0.4090909090909091,0.5625000000000001,0.016129032258064516,0.32666666666666666
9005,held_out,0.01,1.0,52.0,84,84,22,62,0.9,0.4090909090909091,0.5625000000000001,0.016129032258064516,0.32666666666666666
